TicketID,customerID,DateOpened,Category,ResolutionTime_Days,Status
92242057-9cae-47d5-8ab8-4ac0268e245e,6023-YEBUP,2025-01-25,Service Request,9,Open
7476d8ab-02c0-4487-b19a-072ae53be28d,6023-YEBUP,2025-01-09,Billing Issue,1,Open
9f034a06-f9b2-49ca-aeb6-ffe2e19b6bed,6023-YEBUP,2025-04-19,Service Request,5,Resolved
052877af-ad63-457e-a576-4c33d73538a0,7690-KPNCU,2025-03-30,Billing Issue,5,Resolved
8b98e5ba-f1ec-4dfc-9da6-9e1eee9cef0c,7690-KPNCU,2025-04-02,Network Problem,8,Resolved
ce1a58f1-f0fe-4d16-9885-b8d6a730eba7,2277-AXSDC,2025-07-22,Other,5,Resolved
60376d40-1f0c-4ff4-a151-0aab01ad6979,2277-AXSDC,2025-08-13,Network Problem,10,Open
cdd25e73-c070-414e-bd70-50c40f264a01,2277-AXSDC,2025-07-05,Network Problem,2,Resolved
2ba6db57-a0ad-468d-9ab9-1f869a35e03b,8285-ABVLB,2025-03-15,Other,1,Open
2ed4d80b-bf83-4d53-a032-e4e8eb4cdd67,8285-ABVLB,2024-10-18,Billing Issue,9,Open
7aa7dafc-0e0f-456b-8227-9bd10a74e999,8285-ABVLB,2024-11-21,Billing Issue,1,Open
b46bf0c4-e608-4ef5-9629-7a3d11580cc3,0637-KVDLV,2024-10-08,Other,10,Resolved
26afa762-9d27-481f-bd8f-3767ae0c9ee7,0637-KVDLV,2025-03-06,Network Problem,9,Resolved
569bc882-2242-4991-89f6-a1c651d7a877,0637-KVDLV,2025-02-14,Billing Issue,3,Resolved
cacc2025-4657-4ca1-b3ae-4c91883dc610,1548-ARAGG,2025-05-27,Service Request,5,Resolved
8d59fa01-f822-476d-93b5-8d9655acce01,2684-EIWEO,2025-05-14,Billing Issue,9,Resolved
e0e48d2e-fa93-436c-a32e-5ff066c699b8,2684-EIWEO,2025-05-20,Other,5,Resolved
a5389f95-cb56-4f27-a836-29218aa9f2e2,1027-LKKQQ,2025-06-19,Billing Issue,6,Resolved
59fd29b7-a4ac-443e-94b5-da80e8784434,7033-CLAMM,2025-05-28,Service Request,7,Resolved
a1c73d50-6fc0-4732-a3d9-57bfb9d1598e,6839-ITVZJ,2024-11-05,Billing Issue,10,Resolved
93fb896a-bede-4531-8102-e617c80d422c,6839-ITVZJ,2025-08-28,Network Problem,10,Open
17faa52b-7342-47ac-b67c-1efc5d9a5efc,6839-ITVZJ,2024-11-14,Billing Issue,2,Open
32ef5aee-0f78-4095-be4f-a5cd61d670b0,3061-BCKYI,2025-07-28,Service Request,6,Resolved
1f6c5af3-0a45-431f-9451-d222ad589a2b,3061-BCKYI,2025-04-02,Other,10,Resolved
7874b134-2a21-4876-87b3-18c7b075c784,2921-XWDJH,2025-05-13,Billing Issue,4,Resolved
da22426e-59a9-48cd-87b8-81f7c12b558b,2921-XWDJH,2025-04-30,Billing Issue,10,Resolved
9701480f-45ee-44bb-845a-23ac3c664fcb,2921-XWDJH,2024-12-31,Other,7,Resolved
e69419b3-3f02-419a-83f9-fc662141b8d1,5456-ITGIC,2025-07-17,Network Problem,4,Open
a1f85662-9615-41b0-9c31-b243d79800df,3662-FXJFO,2024-12-08,Billing Issue,9,Open
a9955aa2-0d14-4f76-89dc-a7c64ec8062b,2480-EJWYP,2025-07-24,Billing Issue,5,Resolved
7adffc17-a925-403f-9d3a-e44cf7d2f391,2480-EJWYP,2025-07-23,Service Request,4,Open
