CustomerID,Age,Gender,City,State,Country,Married,Dependents,Device Protection Plan,Internet Service,Internet Type,Contract,Payment Method,Churn,Churn Category,customer_sk
4526-ZJJTM,72,Female,San Mateo,California,United States,1,0,1,1,Fiber Optic,Two Year,Bank Withdrawal,0,Not Churned,0
5302-BDJNT,27,Male,Sutter Creek,California,United States,0,0,1,1,Fiber Optic,Month-to-Month,Bank Withdrawal,0,Not Churned,1
5468-BPMMO,59,Male,Santa Cruz,California,United States,1,0,0,0,No Internet,Month-to-Month,Bank Withdrawal,0,Not Churned,2
2212-LYASK,25,Male,Brea,California,United States,1,0,1,1,DSL,One Year,Credit Card,0,Not Churned,3
0378-XSZPU,31,Male,San Jose,California,United States,1,0,1,1,Cable,One Year,Credit Card,1,Dissatisfaction,4
6023-YEBUP,32,Male,Stockton,California,United States,0,0,1,1,Cable,Month-to-Month,Bank Withdrawal,1,Competitor,5
7030-NJVDP,36,Male,San Quentin,California,United States,1,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,0,Not Churned,6
7549-MYGPK,48,Female,Mountain View,California,United States,1,0,1,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Price,7
2469-DTSGX,72,Female,Somis,California,United States,0,0,1,1,Fiber Optic,Two Year,Bank Withdrawal,0,Not Churned,8
3090-LETTY,54,Male,San Diego,California,United States,0,1,0,1,DSL,Month-to-Month,Bank Withdrawal,0,Not Churned,9
6486-LHTMA,67,Female,California City,California,United States,1,0,1,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,10
9799-CAYJJ,79,Female,West Hills,California,United States,1,0,0,1,Fiber Optic,Two Year,Bank Withdrawal,0,Not Churned,11
7690-KPNCU,20,Male,Willow Creek,California,United States,1,0,1,1,DSL,One Year,Credit Card,0,Not Churned,12
9576-ANLXO,30,Female,Earlimart,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Competitor,13
1089-HDMKP,72,Male,Bridgeport,California,United States,0,1,0,1,Cable,Two Year,Bank Withdrawal,0,Not Churned,14
1092-GANHU,62,Male,Magalia,California,United States,0,0,1,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Competitor,15
2931-VUVJN,71,Female,Murrieta,California,United States,1,0,1,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,16
2077-DDHJK,48,Female,Goleta,California,United States,1,0,1,1,DSL,Two Year,Credit Card,0,Not Churned,17
9114-DPSIA,22,Male,Stockton,California,United States,1,1,1,1,DSL,Two Year,Credit Card,0,Not Churned,18
3494-JCHRQ,38,Male,Van Nuys,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Attitude,19
2277-AXSDC,46,Female,El Centro,California,United States,0,0,0,0,No Internet,One Year,Bank Withdrawal,0,Not Churned,20
1928-BXYIV,47,Male,Placerville,California,United States,0,0,0,1,DSL,Month-to-Month,Bank Withdrawal,0,Not Churned,21
7326-RIGQZ,48,Male,Culver City,California,United States,1,1,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,0,Not Churned,22
8634-MPHTR,68,Male,Forbestown,California,United States,1,0,1,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Attitude,23
0064-SUDOG,48,Female,Huntington Park,California,United States,1,1,0,0,No Internet,Two Year,Bank Withdrawal,0,Not Churned,24
6972-SNKKW,60,Female,Chester,California,United States,0,0,0,0,No Internet,Month-to-Month,Mailed Check,0,Not Churned,25
3877-JRJIP,50,Male,Hawthorne,California,United States,0,0,0,1,Cable,Month-to-Month,Bank Withdrawal,1,Attitude,26
7409-KIUTL,80,Female,Escondido,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Competitor,27
3951-NJCVI,76,Female,Cathedral City,California,United States,1,0,0,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,28
8285-ABVLB,34,Female,Santa Barbara,California,United States,1,0,0,0,No Internet,Two Year,Credit Card,0,Not Churned,29
0637-KVDLV,30,Male,Elk Grove,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Other,30
0260-ZDLGK,50,Female,San Dimas,California,United States,0,1,1,1,Cable,Month-to-Month,Credit Card,1,Competitor,31
1548-ARAGG,28,Female,Cedar Glen,California,United States,1,1,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,32
1987-AUELQ,46,Female,Los Angeles,California,United States,1,0,0,0,No Internet,Two Year,Credit Card,0,Not Churned,33
2684-EIWEO,69,Female,San Diego,California,United States,0,0,1,1,Fiber Optic,Month-to-Month,Credit Card,1,Competitor,34
1027-LKKQQ,35,Female,Plymouth,California,United States,1,1,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,35
3717-OEAUQ,37,Male,Ione,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Credit Card,0,Not Churned,36
7033-CLAMM,60,Female,Somes Bar,California,United States,1,1,0,0,No Internet,Two Year,Bank Withdrawal,0,Not Churned,37
1143-NMNQJ,39,Female,Boulder Creek,California,United States,0,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Attitude,38
6839-ITVZJ,35,Female,Los Angeles,California,United States,1,0,0,1,DSL,Month-to-Month,Bank Withdrawal,1,Other,39
8082-GHXOP,20,Male,Esparto,California,United States,0,1,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,40
3569-VLDHH,59,Male,Sacramento,California,United States,1,1,1,1,DSL,One Year,Bank Withdrawal,0,Not Churned,41
3061-BCKYI,27,Male,Thousand Palms,California,United States,0,0,0,0,No Internet,Month-to-Month,Credit Card,0,Not Churned,42
6424-ELEYH,39,Female,Lebec,California,United States,1,0,0,1,Fiber Optic,Month-to-Month,Credit Card,1,Competitor,43
9018-PCIOK,63,Female,Newark,California,United States,0,0,1,1,Cable,Two Year,Mailed Check,0,Not Churned,44
3256-EZDBI,71,Male,Greenville,California,United States,1,0,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,45
3249-VHRIP,38,Female,Fiddletown,California,United States,0,0,1,1,Cable,Two Year,Credit Card,0,Not Churned,46
2921-XWDJH,76,Female,Glendale,California,United States,1,0,0,1,Fiber Optic,Two Year,Bank Withdrawal,0,Not Churned,47
5456-ITGIC,76,Male,Loomis,California,United States,1,0,1,1,DSL,Two Year,Credit Card,0,Not Churned,48
7971-HLVXI,62,Male,San Bernardino,California,United States,1,1,0,1,Fiber Optic,Two Year,Credit Card,0,Not Churned,49
3662-FXJFO,44,Female,Redondo Beach,California,United States,0,0,0,0,No Internet,Two Year,Credit Card,0,Not Churned,50
7779-LGOVN,74,Male,Paskenta,California,United States,1,0,0,1,Cable,Month-to-Month,Bank Withdrawal,1,Dissatisfaction,51
2480-EJWYP,66,Female,Roseville,California,United States,1,0,0,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,52
7544-ZVIKX,33,Male,Roseville,California,United States,1,1,1,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,53
6257-RJOHI,58,Male,San Diego,California,United States,0,0,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,54
2011-TRQYE,59,Male,Deer Park,California,United States,0,0,1,1,DSL,Month-to-Month,Credit Card,1,Dissatisfaction,55
5789-LDFXO,60,Male,Baker,California,United States,0,0,0,0,No Internet,One Year,Bank Withdrawal,0,Not Churned,56
6352-GIGGQ,19,Male,Escondido,California,United States,0,0,1,1,DSL,One Year,Bank Withdrawal,0,Not Churned,57
6807-SIWJI,47,Male,Groveland,California,United States,0,0,0,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,58
0426-TIRNE,54,Female,Encino,California,United States,0,0,0,0,No Internet,Month-to-Month,Credit Card,1,Dissatisfaction,59
4291-TPNFG,56,Male,Raisin City,California,United States,1,0,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,60
3746-EUBYR,63,Male,Fallbrook,California,United States,1,0,0,1,Fiber Optic,Month-to-Month,Bank Withdrawal,1,Competitor,61
9362-MWODR,63,Female,San Mateo,California,United States,0,1,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,62
7321-ZNSLA,58,Male,Cottonwood,California,United States,1,1,0,1,DSL,Two Year,Credit Card,0,Not Churned,63
0565-JUPYD,26,Male,Benicia,California,United States,0,0,1,1,Fiber Optic,One Year,Credit Card,0,Not Churned,64
8336-TAVKX,68,Female,Berry Creek,California,United States,1,0,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,65
3086-RUCRN,33,Female,Paicines,California,United States,0,0,1,1,Fiber Optic,Month-to-Month,Bank Withdrawal,0,Not Churned,66
3745-HRPHI,49,Male,Yuba City,California,United States,1,1,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,67
9928-BZVLZ,58,Female,Sunset Beach,California,United States,0,0,1,1,DSL,Two Year,Credit Card,0,Not Churned,68
0674-GCDXG,20,Male,Bakersfield,California,United States,0,0,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,69
9027-TMATR,42,Female,Warner Springs,California,United States,1,0,1,1,DSL,Two Year,Bank Withdrawal,0,Not Churned,70
4910-AQFFX,30,Male,Soulsbyville,California,United States,1,0,1,1,Cable,Month-to-Month,Bank Withdrawal,1,Dissatisfaction,71
3736-BLEPA,50,Male,Folsom,California,United States,0,0,0,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,72
9220-CXRSC,56,Female,Heber,California,United States,1,1,0,1,DSL,Two Year,Credit Card,0,Not Churned,73
2452-KDRRH,76,Male,Mi Wuk Village,California,United States,0,0,1,1,Fiber Optic,Two Year,Credit Card,0,Not Churned,74
7471-WNSUF,23,Male,San Francisco,California,United States,1,0,0,0,No Internet,One Year,Bank Withdrawal,0,Not Churned,75
9992-UJOEL,22,Male,Elk,California,United States,0,0,0,1,DSL,Month-to-Month,Credit Card,0,Not Churned,76
5204-QZXPU,50,Male,Glendale,California,United States,0,0,1,1,DSL,Month-to-Month,Bank Withdrawal,1,Competitor,77
9481-SFCQY,44,Female,Bass Lake,California,United States,0,1,1,1,DSL,Month-to-Month,Credit Card,0,Not Churned,78
1247-QBVSH,41,Female,Santa Margarita,California,United States,1,1,0,1,DSL,Month-to-Month,Mailed Check,0,Not Churned,79
6478-HRRCZ,47,Male,Stirling City,California,United States,1,0,0,1,DSL,One Year,Credit Card,0,Not Churned,80
9838-BFCQT,61,Male,San Jose,California,United States,1,1,0,0,No Internet,Two Year,Credit Card,0,Not Churned,81
7268-IGMFD,75,Male,Avila Beach,California,United States,0,0,1,1,Fiber Optic,Two Year,Bank Withdrawal,0,Not Churned,82
0750-EBAIU,43,Male,Temecula,California,United States,0,0,1,1,Fiber Optic,One Year,Bank Withdrawal,0,Not Churned,83
0428-AXXLJ,29,Male,Bellflower,California,United States,0,0,0,0,No Internet,One Year,Bank Withdrawal,0,Not Churned,84
5820-PTRYM,75,Female,Chula Vista,California,United States,1,0,1,1,Cable,One Year,Credit Card,0,Not Churned,85
3234-VKACU,21,Male,Sunol,California,United States,0,0,0,1,DSL,Month-to-Month,Bank Withdrawal,0,Not Churned,86
