TicketID,DateOpened,Category,ResolutionTime_Days,Status,customer_sk,year,month,day,time_sk
92242057-9cae-47d5-8ab8-4ac0268e245e,2025-01-25,Service Request,9,Open,5,2025,1,25,339
7476d8ab-02c0-4487-b19a-072ae53be28d,2025-01-09,Billing Issue,1,Open,5,2025,1,9,27
9f034a06-f9b2-49ca-aeb6-ffe2e19b6bed,2025-04-19,Service Request,5,Resolved,5,2025,4,19,289
052877af-ad63-457e-a576-4c33d73538a0,2025-03-30,Billing Issue,5,Resolved,12,2025,3,30,131
8b98e5ba-f1ec-4dfc-9da6-9e1eee9cef0c,2025-04-02,Network Problem,8,Resolved,12,2025,4,2,130
ce1a58f1-f0fe-4d16-9885-b8d6a730eba7,2025-07-22,Other,5,Resolved,20,2025,7,22,182
60376d40-1f0c-4ff4-a151-0aab01ad6979,2025-08-13,Network Problem,10,Open,20,2025,8,13,43
cdd25e73-c070-414e-bd70-50c40f264a01,2025-07-05,Network Problem,2,Resolved,20,2025,7,5,212
2ba6db57-a0ad-468d-9ab9-1f869a35e03b,2025-03-15,Other,1,Open,29,2025,3,15,242
2ed4d80b-bf83-4d53-a032-e4e8eb4cdd67,2024-10-18,Billing Issue,9,Open,29,2024,10,18,62
7aa7dafc-0e0f-456b-8227-9bd10a74e999,2024-11-21,Billing Issue,1,Open,29,2024,11,21,224
b46bf0c4-e608-4ef5-9629-7a3d11580cc3,2024-10-08,Other,10,Resolved,30,2024,10,8,72
26afa762-9d27-481f-bd8f-3767ae0c9ee7,2025-03-06,Network Problem,9,Resolved,30,2025,3,6,151
569bc882-2242-4991-89f6-a1c651d7a877,2025-02-14,Billing Issue,3,Resolved,30,2025,2,14,315
cacc2025-4657-4ca1-b3ae-4c91883dc610,2025-05-27,Service Request,5,Resolved,32,2025,5,27,69
8d59fa01-f822-476d-93b5-8d9655acce01,2025-05-14,Billing Issue,9,Resolved,34,2025,5,14,223
e0e48d2e-fa93-436c-a32e-5ff066c699b8,2025-05-20,Other,5,Resolved,34,2025,5,20,86
a5389f95-cb56-4f27-a836-29218aa9f2e2,2025-06-19,Billing Issue,6,Resolved,35,2025,6,19,240
59fd29b7-a4ac-443e-94b5-da80e8784434,2025-05-28,Service Request,7,Resolved,37,2025,5,28,345
a1c73d50-6fc0-4732-a3d9-57bfb9d1598e,2024-11-05,Billing Issue,10,Resolved,39,2024,11,5,40
93fb896a-bede-4531-8102-e617c80d422c,2025-08-28,Network Problem,10,Open,39,2025,8,28,115
17faa52b-7342-47ac-b67c-1efc5d9a5efc,2024-11-14,Billing Issue,2,Open,39,2024,11,14,51
32ef5aee-0f78-4095-be4f-a5cd61d670b0,2025-07-28,Service Request,6,Resolved,42,2025,7,28,283
1f6c5af3-0a45-431f-9451-d222ad589a2b,2025-04-02,Other,10,Resolved,42,2025,4,2,130
7874b134-2a21-4876-87b3-18c7b075c784,2025-05-13,Billing Issue,4,Resolved,47,2025,5,13,15
da22426e-59a9-48cd-87b8-81f7c12b558b,2025-04-30,Billing Issue,10,Resolved,47,2025,4,30,310
9701480f-45ee-44bb-845a-23ac3c664fcb,2024-12-31,Other,7,Resolved,47,2024,12,31,134
e69419b3-3f02-419a-83f9-fc662141b8d1,2025-07-17,Network Problem,4,Open,48,2025,7,17,141
a1f85662-9615-41b0-9c31-b243d79800df,2024-12-08,Billing Issue,9,Open,50,2024,12,8,305
a9955aa2-0d14-4f76-89dc-a7c64ec8062b,2025-07-24,Billing Issue,5,Resolved,52,2025,7,24,313
7adffc17-a925-403f-9d3a-e44cf7d2f391,2025-07-23,Service Request,4,Open,52,2025,7,23,259
7972105f-d64a-4198-877c-15012a9b52d1,2024-12-23,Other,7,Open,53,2024,12,23,341
bf014bb5-d0d3-47b3-a846-bc2e7e3ffcaf,2024-10-02,Service Request,5,Resolved,53,2024,10,2,12
b37e8fbf-fa2a-4457-9fb3-4c6e84999d6e,2024-10-27,Billing Issue,7,Open,53,2024,10,27,234
bfb078a6-8e3a-4b08-b0dd-68dbf2e0560c,2025-02-20,Billing Issue,6,Resolved,54,2025,2,20,285
3987e571-a899-4fec-a1e9-e673e71fd1d4,2025-06-26,Service Request,7,Resolved,54,2025,6,26,125
19802e21-3961-422f-bffd-77f489bd1eec,2025-07-24,Service Request,3,Open,55,2025,7,24,313
1a2ed23b-033d-458d-8992-32b894569b19,2025-07-28,Network Problem,8,Open,55,2025,7,28,283
2df57178-a525-4a38-8aba-ad9d4209121f,2025-03-28,Other,3,Resolved,55,2025,3,28,179
b0e24c06-d25b-4ad2-b2c8-bda888ce35f1,2024-12-24,Network Problem,2,Open,56,2024,12,24,183
4f4b6553-eeb9-4ebd-9477-0db68509ca70,2025-07-23,Billing Issue,2,Resolved,56,2025,7,23,259
2494374b-7ed9-4a9b-8e04-cefd7ae2da1e,2025-04-13,Service Request,1,Resolved,60,2025,4,13,94
9f747dd4-2a89-49fc-909a-e21aaeb6dc24,2025-08-08,Other,9,Resolved,60,2025,8,8,70
643c062b-9246-4d6e-ac3b-a4cd61405116,2025-08-23,Network Problem,9,Resolved,61,2025,8,23,198
28bd2e77-2c31-4554-9a6e-52bbebabdfc5,2025-04-06,Billing Issue,6,Resolved,61,2025,4,6,350
820cdc22-530c-4d7b-8c43-110a2933d580,2025-02-10,Other,1,Resolved,64,2025,2,10,42
a14196b7-2c7f-424f-a15b-ded915733955,2025-02-01,Billing Issue,4,Resolved,65,2025,2,1,4
815f923b-3513-4cc7-b493-16026a8a872c,2025-02-07,Service Request,4,Open,66,2025,2,7,357
a647d4bc-3c5d-4dba-8862-af38e1b2cd91,2025-06-26,Billing Issue,8,Open,66,2025,6,26,125
0ea91ba5-762a-4149-a143-d0fac7b1ffe9,2025-02-04,Network Problem,4,Open,69,2025,2,4,144
edb0139a-2067-41fb-ac7d-93e6d1be9cb4,2025-08-09,Network Problem,2,Open,69,2025,8,9,303
93f317ce-eb92-43d7-a516-39b9a95687f8,2025-07-18,Network Problem,9,Open,73,2025,7,18,34
a61e920d-da42-48c4-b16b-3a4942e9abd1,2025-04-02,Service Request,5,Open,73,2025,4,2,130
3d2f7abd-bb01-425f-84e6-c354e23f5c21,2025-03-06,Billing Issue,4,Resolved,74,2025,3,6,151
53bd61f7-b449-4eb9-a5c3-92ca9e270f5c,2025-01-31,Service Request,4,Open,75,2025,1,31,255
93e77a88-9592-426f-92e1-de14e8419c52,2024-11-18,Network Problem,9,Open,75,2024,11,18,135
3a1f4efa-be5a-415a-bdac-7ea193a0bd19,2025-01-03,Service Request,4,Resolved,75,2025,1,3,359
63ab42cc-3df3-429c-8e12-0775776d4e23,2024-10-08,Network Problem,8,Resolved,79,2024,10,8,72
8f79e040-2156-49e3-a208-da598d5d6b36,2025-04-09,Service Request,9,Resolved,79,2025,4,9,311
59886bb2-9e44-499f-8754-0139b04fd717,2025-03-24,Network Problem,3,Resolved,82,2025,3,24,324
ed8851c7-9350-41bf-a6e7-262650354aeb,2025-01-02,Billing Issue,1,Resolved,82,2025,1,2,284
af0c51a6-67e3-4da4-b776-6cf16df90046,2025-07-18,Billing Issue,1,Open,90,2025,7,18,34
75918d19-fb47-48d6-827d-69922a3d72be,2024-11-11,Other,8,Resolved,90,2024,11,11,152
69a41a9d-35fa-4dcd-b80a-ab359b10a875,2024-10-27,Other,7,Resolved,90,2024,10,27,234
a3ec8ee4-b739-45d1-86e4-28d7eefccc37,2025-06-29,Network Problem,8,Resolved,91,2025,6,29,2
