PaymentID,CustomerID,date,AmountDue,AmountPaid,PaymentStatus,DelayDays,customer_sk,year,month,day,time_sk
0e8e9884-8fa8-4f72-b07b-81845f4e5547,4526-ZJJTM,2025-01-29,100.0,0.0,Late,10,0,2025,1,29,101
59b364df-9a08-423a-9466-663676296cca,4526-ZJJTM,2025-07-04,50.0,0.0,Late,5,0,2025,7,4,294
4feb3c98-3787-4274-b95e-1db48858062c,4526-ZJJTM,2025-05-01,70.0,70.0,Paid,0,0,2025,5,1,347
e2dd1af6-ffac-4e0e-947d-bbddb2c7553c,4526-ZJJTM,2025-02-07,50.0,0.0,Late,15,0,2025,2,7,357
f54d1dce-97a1-4a37-986a-c169d17ff56e,4526-ZJJTM,2024-10-26,50.0,0.0,Late,15,0,2024,10,26,286
6fd30018-e04b-4a7c-a161-f6b28b3a38a3,4526-ZJJTM,2024-12-21,35.0,35.0,Paid,0,0,2024,12,21,209
d986ff0b-6a4e-4029-9540-0f0478ca5194,4526-ZJJTM,2025-02-24,100.0,100.0,Paid,0,0,2025,2,24,266
9e87011f-3edf-4daa-ad71-18dc652348f0,5302-BDJNT,2025-01-27,20.0,20.0,Paid,0,1,2025,1,27,270
ead696b9-6328-41e8-95fa-8b4949bb4c6f,5302-BDJNT,2025-08-03,35.0,35.0,Paid,0,1,2025,8,3,120
5be9e5bf-0f17-4108-80dc-afd4aa8ff312,5302-BDJNT,2024-12-15,35.0,35.0,Paid,0,1,2024,12,15,271
1db528ac-e790-42f8-8503-3e234526c275,5302-BDJNT,2025-04-12,50.0,0.0,Late,10,1,2025,4,12,116
fb11a1d2-4f45-40a9-9085-a8504f8ecf49,5302-BDJNT,2025-05-21,100.0,100.0,Paid,0,1,2025,5,21,109
6c66fd94-7769-4090-8d0a-9cb0856780c3,5468-BPMMO,2025-04-24,50.0,0.0,Late,5,2,2025,4,24,272
3da51985-1e51-4219-945e-3f134fbf1d3c,5468-BPMMO,2025-04-02,20.0,0.0,Late,10,2,2025,4,2,130
a9f599ae-3588-46d3-b449-f784e901b0ff,5468-BPMMO,2024-10-12,50.0,50.0,Paid,0,2,2024,10,12,248
6492bce4-6d11-44b4-bb81-ab4dc5889fee,5468-BPMMO,2025-09-08,50.0,50.0,Paid,0,2,2025,9,8,287
03f8560f-836f-4479-a253-422fb5ef17f3,5468-BPMMO,2025-06-08,50.0,50.0,Paid,0,2,2025,6,8,3
d9e95486-f275-432c-a86c-cb94a19e1460,5468-BPMMO,2025-03-30,35.0,0.0,Late,10,2,2025,3,30,131
b1304807-c62d-4a8e-856e-58d6e6a5e842,5468-BPMMO,2025-05-18,100.0,0.0,Late,15,2,2025,5,18,166
9e89510e-6719-4c03-89fe-23e3d5693a0b,5468-BPMMO,2025-08-09,50.0,0.0,Late,5,2,2025,8,9,303
bc83b472-7e71-4c05-b955-2862aa7bdd37,5468-BPMMO,2025-07-13,35.0,35.0,Paid,0,2,2025,7,13,325
3dbc824a-6d2b-496a-afef-eee5c40f2744,5468-BPMMO,2024-10-14,50.0,0.0,Late,10,2,2024,10,14,298
f8e97536-9fd1-461b-913a-8d5b2eff1861,5468-BPMMO,2024-10-26,50.0,0.0,Late,15,2,2024,10,26,286
826807a3-c343-47ca-a7c5-c5b1959a0cc4,5468-BPMMO,2025-02-10,70.0,70.0,Paid,0,2,2025,2,10,42
dbb400d4-865a-4df0-b13e-1d90df8f5f32,2212-LYASK,2024-12-19,35.0,35.0,Paid,0,3,2024,12,19,358
1932e2e5-89ac-41a2-abe2-bd531266e0dd,2212-LYASK,2025-05-31,50.0,0.0,Late,15,3,2025,5,31,89
583fc863-fcf1-4503-880f-7de5a7e41c1f,2212-LYASK,2025-07-02,20.0,0.0,Late,15,3,2025,7,2,340
d4ee2cdf-7ad9-4244-bd49-74e03405f6f9,2212-LYASK,2025-08-26,35.0,35.0,Paid,0,3,2025,8,26,143
af2c08bc-3e3c-47d7-a35d-c886b261f2b2,2212-LYASK,2025-05-04,100.0,0.0,Late,10,3,2025,5,4,128
95855312-f53c-452c-a880-337691cce308,2212-LYASK,2024-11-17,50.0,0.0,Late,15,3,2024,11,17,202
a4eff336-a6d5-4106-8013-041138873bee,2212-LYASK,2024-11-27,20.0,0.0,Late,5,3,2024,11,27,38
a14f9bfc-9410-489b-a7a6-f437a78718a6,2212-LYASK,2024-12-01,70.0,0.0,Late,10,3,2024,12,1,23
120e78d5-d336-49e3-b306-38c291fb9268,2212-LYASK,2024-09-08,100.0,0.0,Late,15,3,2024,9,8,90
9b995c11-3a68-4fe4-babb-b83cec82adbe,2212-LYASK,2025-04-07,20.0,20.0,Paid,0,3,2025,4,7,81
6f358903-e87f-491f-9782-f64309184521,2212-LYASK,2024-10-04,70.0,70.0,Paid,0,3,2024,10,4,145
30e53bb1-b823-42bf-a388-1edd4cabf5c0,2212-LYASK,2025-01-16,70.0,70.0,Paid,0,3,2025,1,16,197
bd729547-21d8-4e77-967b-f55c40df6b97,0378-XSZPU,2025-07-10,70.0,70.0,Paid,0,4,2025,7,10,218
782bc8c1-a506-44fe-b181-72aa12b1b664,0378-XSZPU,2025-09-05,20.0,20.0,Paid,0,4,2025,9,5,129
acbff087-be8e-44e0-934e-39bcce2cb759,0378-XSZPU,2024-09-16,50.0,50.0,Paid,0,4,2024,9,16,295
68a6638f-eab1-4f4f-ae6d-1479c25056b9,0378-XSZPU,2024-10-09,35.0,0.0,Late,10,4,2024,10,9,249
710cd796-da72-47bd-ad51-7771b2825bbb,0378-XSZPU,2025-06-28,100.0,0.0,Late,15,4,2025,6,28,335
0510bfab-b3c8-4aa5-abe6-159c53b83bd1,0378-XSZPU,2024-11-08,50.0,50.0,Paid,0,4,2024,11,8,146
fa5fa053-8cca-42af-8053-08f2b2ad5fab,0378-XSZPU,2025-06-19,20.0,0.0,Late,15,4,2025,6,19,240
6d082bff-e707-43d1-9dc7-80f5a95b7d26,0378-XSZPU,2025-01-01,35.0,0.0,Late,5,4,2025,1,1,232
59ba078a-ea22-42e4-aa8f-d3fa606e3606,0378-XSZPU,2025-03-21,20.0,20.0,Paid,0,4,2025,3,21,167
40e2e801-7b92-4ee7-90dc-030e541954c5,0378-XSZPU,2024-11-09,70.0,0.0,Late,5,4,2024,11,9,107
82ffe211-b842-4714-8534-45de23a041a8,0378-XSZPU,2024-10-28,20.0,20.0,Paid,0,4,2024,10,28,159
d306b8a2-fe98-499b-92ba-9cd3306cdfaa,0378-XSZPU,2025-07-28,20.0,20.0,Paid,0,4,2025,7,28,283
a9fc64bf-0f07-4a73-ac25-1a969bc9969b,6023-YEBUP,2024-12-04,50.0,0.0,Late,15,5,2024,12,4,321
abe18991-35b6-44e3-b534-a4273d413acd,6023-YEBUP,2025-06-29,100.0,0.0,Late,5,5,2025,6,29,2
c6bb2c4e-3704-4deb-afd7-171896774974,6023-YEBUP,2025-06-10,20.0,0.0,Late,5,5,2025,6,10,344
b15dd0b2-258b-4757-ad37-be98f72c0c9e,6023-YEBUP,2025-01-11,35.0,0.0,Late,10,5,2025,1,11,333
e665f69e-f1b1-421a-8143-a4d9c05af33f,7030-NJVDP,2025-03-15,70.0,70.0,Paid,0,6,2025,3,15,242
009669de-2816-4ffe-ac0d-e3f22d4d7052,7030-NJVDP,2025-07-06,100.0,100.0,Paid,0,6,2025,7,6,274
88fd3014-14bb-42c7-b35f-d3595e7fd152,7030-NJVDP,2025-02-26,20.0,20.0,Paid,0,6,2025,2,26,102
97afe56c-bc54-43c9-890e-06c0333d9fda,7549-MYGPK,2025-06-15,20.0,0.0,Late,15,7,2025,6,15,241
3ca30bcf-87ab-411f-bd49-b41860764d41,7549-MYGPK,2025-05-06,70.0,70.0,Paid,0,7,2025,5,6,235
2d7ecbc5-ce3e-4176-9666-bf1cb1aa5a24,7549-MYGPK,2024-12-24,70.0,0.0,Late,10,7,2024,12,24,183
01fed228-a2f6-4d0d-9088-7e653605d57b,7549-MYGPK,2024-09-08,100.0,0.0,Late,10,7,2024,9,8,90
95d24bc3-133d-4cbe-af6a-64b0138d410b,7549-MYGPK,2024-12-14,20.0,0.0,Late,5,7,2024,12,14,191
c7b222c0-f5cd-45fa-a52a-9a342e27223a,7549-MYGPK,2024-09-24,50.0,50.0,Paid,0,7,2024,9,24,323
3268ae91-b99c-4a8e-883e-5df81f4f5b73,7549-MYGPK,2025-01-24,20.0,0.0,Late,15,7,2025,1,24,329
0148ef5f-543d-4be4-989b-1b3bc5dd7b52,7549-MYGPK,2024-11-11,50.0,50.0,Paid,0,7,2024,11,11,152
d0d938be-cee6-4c16-a610-f4d8d028a38d,7549-MYGPK,2025-06-07,50.0,50.0,Paid,0,7,2025,6,7,261
d96198e1-7df9-4a67-9c9e-831c85cbb883,7549-MYGPK,2024-10-25,70.0,70.0,Paid,0,7,2024,10,25,19
71e66953-1878-408d-a733-5c8602da7d27,7549-MYGPK,2025-04-13,70.0,0.0,Late,15,7,2025,4,13,94
